city_id	city_label	city_ancient_primary	city_modern_primary	country_modern_primary	lat	lon	location_precision	christianity_start_year
aksum-axum-axum	Aksum (Axum)		Axum	Ethiopia	14.12109	38.72337	exact	340
alexandria-alexandria	Alexandria		Alexandria	Egypt	31.20010	29.91870	exact	42
amida-diyarbak-r	Amida		Diyarbakır	Türkiye	37.91440	40.23060	approx_city	150
ancyra-ankara	Ancyra		Ankara	Türkiye	39.91670	32.86670	approx_city	48
antinoopolis-sheikh-ibada	Antinoopolis		Sheikh Ibada	Egypt	27.81270	30.87890	approx_city	200
antioch-antakya	Antioch		Antakya	Türkiye	36.20655	36.15722	exact	40
apamea-afamia	Apamea		Afamia	Syria	35.41670	36.40830	approx_city	150
aquileia-aquileia	Aquileia		Aquileia	Italy	45.76940	13.36930	approx_city	160
arelate-arles	Arelate		Arles	France	43.67670	4.62780	approx_city	200
ascalon-ashkelon	Ascalon		Ashkelon	Israel	31.66880	34.57420	approx_city	60
athens-athens	Athens		Athens	Greece	37.97550	23.73480	exact	50
attalia-antalya	Attalia		Antalya	Türkiye	36.88410	30.70560	approx_city	47
augusta-treverorum-trier	Augusta Treverorum		Trier	Germany	49.75660	6.64160	approx_city	200
augusta-vindelicorum-augsburg	Augusta Vindelicorum		Augsburg	Germany	48.37140	10.89820	approx_city	250
azotus-ashdod	Azotus		Ashdod	Israel	31.81540	34.64980	approx_city	36
barcinonae-barcelona	Barcinonae		Barcelona	Spain	41.38510	2.17340	approx_city	200
beroia-veria	Beroia		Veria	Greece	40.52280	22.20130	approx_city	50
berytus-beirut	Berytus		Beirut	Lebanon	33.88690	35.51310	approx_city	100
bethany-al-eizariya	Bethany		Al-Eizariya	Palestinian Territories	31.77690	35.26360	approx_city	28
bethlehem-bethlehem	Bethlehem		Bethlehem	Palestinian Territories	31.70570	35.20240	approx_city	1
bononia-bologna	Bononia		Bologna	Italy	44.49490	11.34260	approx_city	200
bostra-bosra	Bostra		Bosra	Syria	32.51670	36.48330	approx_city	150
brundisium-brindisi	Brundisium		Brindisi	Italy	40.62820	17.94240	approx_city	100
byzantium-istanbul	Byzantium		Istanbul	Türkiye	41.00820	28.97840	exact	100
caesaraugusta-zaragoza	Caesaraugusta		Zaragoza	Spain	41.65180	-0.87800	approx_city	180
caesarea-cappadocia-kayseri	Caesarea Cappadocia		Kayseri	Türkiye	38.72250	35.48750	exact	150
caesarea-maritima-caesarea	Caesarea Maritima		Caesarea	Israel	32.4969	34.8965	exact	40
caesarea-philippi-banias	Caesarea Philippi		Banias	Israel	33.24830	35.69330	approx_city	28
capernaum-kefar-nahum	Capernaum		Kefar Nahum	Israel	32.88120	35.57540	approx_city	28
capua-santa-maria-capua-vetere	Capua		Santa Maria Capua Vetere	Italy	41.08250	14.25250	approx_city	100
carnuntum-petronell-carnuntum	Carnuntum		Petronell-Carnuntum	Austria	48.11190	16.86220	approx_city	200
carrhae-harran	Carrhae		Harran	Türkiye	36.86110	39.02890	approx_city	100
carthage-carthage	Carthage		Carthage	Tunisia	36.85280	10.32330	exact	180
cenchreae-kenchreai	Cenchreae		Kenchreai	Greece	37.86830	23.00170	approx_city	51
chalcedon-kad-koy-istanbul	Chalcedon		Kadıköy (Istanbul)	Türkiye	40.99060	29.03030	approx_city	150
cirta-constantine	Cirta		Constantine	Algeria	36.36500	6.61470	approx_city	200
colonia-agrippina-cologne	Colonia Agrippina		Cologne	Germany	50.93330	6.95000	approx_city	200
